Y,DESCRIPTION
APPROXIMATE_VOLUME_ML,Approximate volume of the specified ROI of the image in milliliters.
APPROXIMATE_VOLUME_MM3,Approximate volume of the specified ROI of the image in cubic millimeters assuming water equivalent.
ASPHERICITY_MM,Measure of the lack roundness or deviation from spherical nature of the image ROI; min value = 0 (sphere)
AVG_DENSITY_OF_GGO_REGION_INCLUDING_PARENCHYMA,The average density of voxels identified as (-950HU <= voxel < -450HU).
COEFFICIENT_OF_VARIATION_HU,A measure of dispersion in the intensity distribution in the image ROI.
COMPACTNESS1_IBSI_MM,Dimensionless measure of compactness of ROI independent of scale and orientation (second of three implementations).
GEOMETRIC_CENTER_OF_MASS_MM_X,Patient X coordinate for center of mass unweighted by image intensity.
GEOMETRIC_CENTER_OF_MASS_MM_Y,Patient Y coordinate for center of mass unweighted by image intensity.
GEOMETRIC_CENTER_OF_MASS_MM_Z,Patient Z coordinate for center of mass unweighted by image intensity.
GLCM_ASM_GL,Average angular second moments of GLCM in all 26 directions for Grey Leveled Image.
GLCM_COL_MEAN_GL,Average column means of GLCM in all 26 directions for Grey Leveled Image.
GLCM_COL_STD_GL,Average column standard deviations of GLCM in all 26 directions for Grey Leveled Image.
GLCM_COL_VAR_GL,Average column variances of GLCM in all 26 directions for Grey Leveled Image.
GLCM_CONTRAST_GL,Average contrasts of GLCM in all 26 directions for Grey Leveled Image.
GLCM_CORRELATION_GL,Average correlations of GLCM in all 26 directions for Grey Leveled Image.
GLCM_DISSIMILARITY_GL,"Average dissimilarities of GLCM in all 26 directions for Grey Leveled Image.
"
GLCM_ENERGY_GL,Average energies of GLCM in all 26 directions for Grey Leveled Image.
GLCM_ENTROPY_GL,Average entropies of GLCM in all 26 directions for Grey Leveled Image.
GLCM_HOMOGENEITY_GL,Average homogeneities of GLCM in all 26 directions for Grey Leveled Image.
GLCM_IBSI_AUTOCORR_2DF_BW,Autocorrelation of GLCM by slice without merging
GLCM_IBSI_AUTOCORR_2DF_HU,Autocorrelation of GLCM by slice without merging
GLCM_IBSI_AUTOCORR_2DS_BW,Autocorrelation of GLCM by slice with merging by slice.
GLCM_IBSI_AUTOCORR_2DS_HU,Autocorrelation of GLCM by slice with merging by slice.
GLCM_IBSI_AUTOCORR_2DV_BW,Autocorrelation of GLCM by Slice with Full Merging.
GLCM_IBSI_AUTOCORR_2DV_HU,Autocorrelation of GLCM by Slice with Full Merging.
GLCM_IBSI_AUTOCORR_3DF_BW,Autocorrelation of GLCM by Volume without Merging.
GLCM_IBSI_AUTOCORR_3DF_HU,Autocorrelation of GLCM by Volume without Merging.
GLCM_IBSI_AUTOCORR_3DV_BW,Autocorrelation of GLCM by Slice with Full Merging.
GLCM_IBSI_AUTOCORR_3DV_HU,Autocorrelation of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_AVERAGE_2DF_BW,Difference averages of GLCM by slice without merging
GLCM_IBSI_DIFFERENCE_AVERAGE_2DF_HU,Difference averages of GLCM by slice without merging
GLCM_IBSI_DIFFERENCE_AVERAGE_2DS_BW,Difference averages of GLCM by slice with merging by slice.
GLCM_IBSI_DIFFERENCE_AVERAGE_2DS_HU,Difference averages of GLCM by slice with merging by slice.
GLCM_IBSI_DIFFERENCE_AVERAGE_2DV_BW,Difference averages of GLCM by Slice with Full Merging.
