"","pathway","pval","padj","log2err","NES","size","state","pvlabel"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.26992546106023e-25,6.34962730530117e-24,1.31101476274061,-3.0500512663096,189,"down","***"
"2","HALLMARK_E2F_TARGETS",2.30813409480128e-15,5.77033523700319e-14,1.00731795687447,2.4063307626137,182,"up","***"
"3","HALLMARK_GLYCOLYSIS",1.29754693780675e-12,1.62193367225843e-11,0.910119734774459,2.3242655628849,172,"up","***"
"4","HALLMARK_TGF_BETA_SIGNALING",1.32619124561154e-06,1.10515937134295e-05,0.643551836150722,-2.32358293125771,52,"down","***"
"5","HALLMARK_G2M_CHECKPOINT",3.23600730662161e-13,5.39334551103601e-12,0.932595211336209,2.27985761944055,181,"up","***"
"6","HALLMARK_INFLAMMATORY_RESPONSE",2.28795927654601e-09,2.28795927654601e-08,0.774939030136436,-2.10559300473244,179,"down","***"
"7","HALLMARK_APOPTOSIS",1.12394403415496e-05,8.02817167253542e-05,0.593325476396405,-1.836330285697,144,"down","***"
"8","HALLMARK_MYC_TARGETS_V2",0.000751227198950945,0.00313011332896227,0.477270815362862,1.82136349314785,56,"up","**"
"9","HALLMARK_KRAS_SIGNALING_UP",6.59295672256048e-05,0.00041205979516003,0.538434096309916,-1.67946258366685,170,"down","***"
"10","HALLMARK_COMPLEMENT",8.10518717242203e-05,0.000450288176245669,0.538434096309916,-1.6701543190225,168,"down","***"
"11","HALLMARK_ALLOGRAFT_REJECTION",0.000169596772042414,0.000847983860212068,0.518848077743792,-1.66074439815521,156,"down","***"
"12","HALLMARK_ESTROGEN_RESPONSE_LATE",0.000367042624192829,0.00166837556451286,0.49849310876659,1.65497782464421,174,"up","**"
"13","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00253117410778976,0.00844963134716599,0.431707695803346,-1.65261580161849,67,"down","**"
"14","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00424794935660438,0.0113253845911851,0.407017918923954,-1.63744879957826,73,"down","*"
"15","HALLMARK_SPERMATOGENESIS",0.00277594183740912,0.0086748182419035,0.318279675040437,1.63514194566414,87,"up","**"
"16","HALLMARK_KRAS_SIGNALING_DN",0.00345843473805559,0.0101718668766341,0.279865652661932,1.59126170877612,114,"up","*"
"17","HALLMARK_MITOTIC_SPINDLE",0.00430364614465033,0.0113253845911851,0.241698386096655,1.49227903035641,187,"up","*"
"18","HALLMARK_P53_PATHWAY",0.00115330612878912,0.00443579280303508,0.45505986738723,-1.49034223470976,182,"down","**"
"19","HALLMARK_UV_RESPONSE_DN",0.00638679959663295,0.0159669989915824,0.407017918923954,-1.46985572107785,135,"down","*"
"20","HALLMARK_IL2_STAT5_SIGNALING",0.0025348894041498,0.00844963134716599,0.431707695803346,-1.43385982021046,182,"down","**"
