"","pathway","pval","padj","log2err","NES","size","state","pvlabel"
"1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",9.18215876206822e-30,4.59107938103411e-28,1.41727590263607,-3.12527563664562,184,"down","***"
"2","HALLMARK_TNFA_SIGNALING_VIA_NFKB",3.42764540126577e-16,8.56911350316442e-15,1.03769615548758,-2.52346350351664,189,"down","***"
"3","HALLMARK_MYOGENESIS",1.85176496680793e-12,2.31470620850991e-11,0.898671232061694,-2.41069086865065,162,"down","***"
"4","HALLMARK_APICAL_JUNCTION",8.53517951069749e-13,1.42252991844958e-11,0.921426003494898,-2.40333417081692,163,"down","***"
"5","HALLMARK_TGF_BETA_SIGNALING",1.06846089517205e-07,6.6778805948253e-07,0.704975715167238,-2.36885868150836,52,"down","***"
"6","HALLMARK_COAGULATION",4.56438139321268e-08,3.80365116101057e-07,0.719512826338911,-2.22609875801601,97,"down","***"
"7","HALLMARK_ANGIOGENESIS",1.50529387844364e-05,5.01764626147881e-05,0.593325476396405,-2.18445787780921,29,"down","***"
"8","HALLMARK_CHOLESTEROL_HOMEOSTASIS",8.65702226102792e-06,3.09179366465283e-05,0.593325476396405,-2.09487514467317,67,"down","***"
"9","HALLMARK_UV_RESPONSE_UP",1.32380353167421e-07,7.35446406485673e-07,0.690132458796796,-2.09161394503161,133,"down","***"
"10","HALLMARK_COMPLEMENT",1.76080391836926e-08,1.76080391836926e-07,0.73376198835648,-2.08735686540365,168,"down","***"
"11","HALLMARK_INFLAMMATORY_RESPONSE",7.79639498556983e-08,5.5688535611213e-07,0.704975715167238,-2.00633557086781,179,"down","***"
"12","HALLMARK_APOPTOSIS",7.88146360065633e-07,3.94073180032816e-06,0.659444398037935,-1.98889599007734,144,"down","***"
"13","HALLMARK_HYPOXIA",1.64840572794736e-06,6.86835719978066e-06,0.643551836150722,-1.90400230377,168,"down","***"
"14","HALLMARK_KRAS_SIGNALING_UP",2.01554741500565e-06,7.7521054423294e-06,0.627256739718528,-1.87736101490759,170,"down","***"
"15","HALLMARK_MITOTIC_SPINDLE",9.89004021742866e-07,4.49547282610394e-06,0.643551836150722,-1.87555724279991,187,"down","***"
"16","HALLMARK_UV_RESPONSE_DN",3.94642139782192e-05,0.000123325668681935,0.557332238758646,-1.82720375976887,135,"down","***"
"17","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00191832528992228,0.00417027236939627,0.45505986738723,-1.81229576668844,38,"down","**"
"18","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00173324751147571,0.00393919888971752,0.45505986738723,-1.76916804525529,44,"down","**"
"19","HALLMARK_KRAS_SIGNALING_DN",0.00020797253691438,0.000611683932101118,0.518848077743792,1.75752016539865,114,"up","***"
"20","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00229528024365019,0.00478183384093789,0.431707695803346,-1.69493630544878,73,"down","**"
"21","HALLMARK_HEDGEHOG_SIGNALING",0.00728862973760933,0.0134974624770543,0.245188063659135,-1.6835070930919,28,"down","*"
"22","HALLMARK_XENOBIOTIC_METABOLISM",0.000292231679449499,0.000811754665137496,0.49849310876659,-1.66695770036063,159,"down","***"
"23","HALLMARK_P53_PATHWAY",0.00055449561619046,0.00145919898997489,0.477270815362862,-1.60140235321653,182,"down","**"
"24","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00374351528224662,0.00719906785047426,0.431707695803346,-1.59521321434517,87,"down","**"
"25","HALLMARK_ANDROGEN_RESPONSE",0.00343530423533504,0.00687060847067008,0.431707695803346,-1.57625680501447,90,"down","**"
"26","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000895349823033769,0.00223837455758442,0.477270815362862,-1.51863565020506,185,"down","**"
"27","HALLMARK_MTORC1_SIGNALING",0.00161160039781015,0.00383714380430988,0.45505986738723,-1.50933213887854,187,"down","**"
"28","HALLMARK_ADIPOGENESIS",0.00924000924000924,0.0165000165000165,0.229089382980959,-1.42117547632001,178,"down","*"
"29","HALLMARK_IL2_STAT5_SIGNALING",0.00973348783314021,0.0167818755743797,0.223479119117479,-1.40585303232998,182,"down","*"
"30","HALLMARK_HEME_METABOLISM",0.0165403170227429,0.0275671950379049,0.170004278488927,-1.36750076891047,162,"down","*"
