"","pathway","pval","padj","log2err","NES","size","state","pvlabel"
"1","Nuclear Events (kinase and transcription factor activation)",1.35190070669869e-07,2.85251049113424e-05,0.690132458796796,-2.4255931288687,54,"down","***"
"2","NGF-stimulated transcription",2.07313329370277e-06,0.000253249598667586,0.627256739718528,-2.41080583003066,34,"down","***"
"3","Activation of the pre-replicative complex",1.21271498561237e-06,0.000165571263623901,0.643551836150722,2.23448666888962,31,"up","***"
"4","DNA strand elongation",9.0374578253809e-07,0.000131099622579432,0.659444398037935,2.22474877360992,30,"up","***"
"5","Interleukin-3, Interleukin-5 and GM-CSF signaling",2.01353495182339e-05,0.00146279487607771,0.575610261071129,-2.17453317312905,40,"down","**"
"6","DAP12 interactions",5.6129893787448e-05,0.00317749959708944,0.557332238758646,-2.17291288909781,34,"down","**"
"7","Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)",2.36941909661703e-05,0.00157126334949947,0.575610261071129,2.12940602293076,12,"up","**"
"8","Cell-extracellular matrix interactions",0.000666290332459436,0.019826408482543,0.477270815362862,-2.10969739678223,16,"down","*"
"9","Leishmania infection",1.32788241197534e-09,7.70503769548692e-07,0.788186810800237,-2.10822882097039,187,"down","***"
"10","Activation of ATR in response to replication stress",2.50790543715034e-05,0.00161690236656276,0.575610261071129,2.10696801191435,36,"up","**"
"11","Unwinding of DNA",4.940261792853e-05,0.00286658690530295,0.557332238758646,2.09279555669451,12,"up","**"
"12","Signaling by BMP",0.000275531565521081,0.0103146574770069,0.49849310876659,-2.08913507368605,23,"down","*"
"13","FOXO-mediated transcription",2.25073346139085e-05,0.00153645657761416,0.575610261071129,-2.08675893061098,53,"down","**"
"14","RUNX3 regulates NOTCH signaling",0.00122689103971433,0.0289566008904121,0.45505986738723,-2.08393902964056,12,"down","*"
"15","DNA Double-Strand Break Repair",6.49305608860102e-08,1.67448702018255e-05,0.704975715167238,2.07315574009513,120,"up","***"
"16","Incretin synthesis, secretion, and inactivation",0.000698431047001725,0.0202632307511375,0.477270815362862,-2.06829181652482,11,"down","*"
"17","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",0.000698431047001725,0.0202632307511375,0.477270815362862,-2.06829181652482,11,"down","*"
"18","Kinesins",7.5758204129662e-06,0.000732644965770606,0.610526878385931,2.06489404247972,50,"up","***"
"19","Defective GALNT12 causes colorectal cancer 1 (CRCS1)",9.39261021238163e-05,0.00484449962287506,0.538434096309916,2.06032814017673,12,"up","**"
"20","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",0.00123511567779009,0.0289566008904121,0.45505986738723,-2.05599942364868,19,"down","*"
"21","DNA Replication",1.72165095561613e-07,3.12244355835531e-05,0.690132458796796,2.04900337624319,118,"up","***"
"22","Regulation of signaling by CBL",0.000987233485870425,0.0263375738012098,0.45505986738723,-2.04416529367933,20,"down","*"
"23","IRAK4 deficiency (TLR2/4)",0.000974421237724546,0.0263375738012098,0.477270815362862,-2.02989248892101,10,"down","*"
"24","Homology Directed Repair",1.79225200921133e-06,0.000231100939632194,0.643551836150722,2.02929938736446,94,"up","***"
"25","Scavenging of heme from plasma",6.79484343755001e-05,0.00375495990917942,0.538434096309916,2.02296597969709,10,"up","**"
"26","O-linked glycosylation of mucins",0.00010299833347835,0.00517635218681852,0.538434096309916,1.99364600206092,51,"up","**"
"27","GPVI-mediated activation cascade",0.000535261814208985,0.017018392750398,0.477270815362862,-1.97553204282916,31,"down","*"
"28","Regulation of FOXO transcriptional activity by acetylation",0.00238772948714194,0.0499529345497905,0.431707695803346,-1.97405402492131,9,"down","*"
"29","COPI-dependent Golgi-to-ER retrograde traffic",6.51718802006539e-06,0.000687563336116899,0.610526878385931,1.97196417990376,88,"up","***"
"30","Cell Cycle Checkpoints",2.77050467033381e-09,1.07172355664079e-06,0.774939030136436,1.96189351731617,233,"up","***"
"31","DNA Replication Pre-Initiation",2.16088415044901e-05,0.00151982185248247,0.575610261071129,1.9615871426037,77,"up","**"
"32","Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)",0.000567324678291432,0.0177940618691137,0.477270815362862,1.95890831846986,12,"up","*"
"33","Platelet activation, signaling and aggregation",5.66239463406443e-08,1.64280224320794e-05,0.719512826338911,-1.95743089846175,220,"down","***"
"34","Anti-inflammatory response favouring Leishmania parasite infection",1.49280218120951e-05,0.00128325698614343,0.593325476396405,-1.93158525250436,111,"down","**"
"35","Leishmania parasite growth and survival",1.49280218120951e-05,0.00128325698614343,0.593325476396405,-1.93158525250436,111,"down","**"
"36","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)",1.84468520294906e-05,0.00142717145201492,0.575610261071129,1.92443859184665,88,"up","**"
"37","Cell recruitment (pro-inflammatory response)",0.00119398531277017,0.0288670824056204,0.45505986738723,-1.91317972052234,23,"down","*"
"38","Purinergic signaling in leishmaniasis infection",0.00119398531277017,0.0288670824056204,0.45505986738723,-1.91317972052234,23,"down","*"
"39","G2/M Checkpoints",6.97183837685285e-06,0.000703549429246759,0.610526878385931,1.9092014085261,121,"up","***"
"40","Cell surface interactions at the vascular wall",1.79210477238498e-05,0.00142717145201492,0.575610261071129,-1.90807885374972,105,"down","**"
"41","Synthesis of DNA",2.01677880372627e-05,0.00146279487607771,0.575610261071129,1.904458027321,111,"up","**"
"42","Deposition of new CENPA-containing nucleosomes at the centromere",0.000984850501120204,0.0263375738012098,0.45505986738723,1.89385046198212,22,"up","*"
"43","Nucleosome assembly",0.000984850501120204,0.0263375738012098,0.45505986738723,1.89385046198212,22,"up","*"
"44","ADORA2B mediated anti-inflammatory cytokines production",7.43028727150687e-05,0.00391947653571987,0.538434096309916,-1.89338096519162,79,"down","**"
"45","Resolution of Abasic Sites (AP sites)",0.000606906959125506,0.0187817473617373,0.477270815362862,1.89207068132444,37,"up","*"
"46","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",3.32411975639964e-05,0.00203033735647462,0.557332238758646,-1.88442262666623,93,"down","**"
"47","Type I hemidesmosome assembly",0.00136989259417773,0.0317952071108652,0.45505986738723,1.88243671711905,9,"up","*"
"48","Cell Cycle",3.33359320107545e-13,7.73726981969613e-10,0.932595211336209,1.87569927125131,560,"up","***"
"49","Homologous DNA Pairing and Strand Exchange",0.000411540328121951,0.0138432623416094,0.49849310876659,1.87256782535556,40,"up","*"
"50","Chromosome Maintenance",0.000112230936074439,0.00542683338809946,0.538434096309916,1.86602502761451,77,"up","**"
"51","Resolution of Sister Chromatid Cohesion",3.30374219532088e-05,0.00203033735647462,0.557332238758646,1.8654746274647,105,"up","**"
"52","HDR through Homologous Recombination (HRR)",0.000330028487433845,0.0116060018080902,0.49849310876659,1.85740471286404,63,"up","*"
"53","Resolution of D-Loop Structures",0.00106369096678723,0.0268350731947082,0.45505986738723,1.85019032968101,31,"up","*"
"54","CDC6 association with the ORC:origin complex",0.00178209971408267,0.0397716676575565,0.45505986738723,1.84890144389009,11,"up","*"
"55","Mitotic Prometaphase",5.1677404280229e-06,0.000571158358735293,0.610526878385931,1.84206804066019,174,"up","***"
"56","DNA Repair",2.62988694562024e-07,4.35997685770327e-05,0.674962860011025,1.83108337914918,260,"up","***"
"57","Cell Cycle, Mitotic",2.57378118731547e-10,1.99124871191973e-07,0.814035837847908,1.82777151339768,452,"up","***"
"58","G1/S-Specific Transcription",0.00140525468156499,0.0322930308506173,0.45505986738723,1.82660187794652,26,"up","*"
"59","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",0.000137281130361383,0.00637259007137539,0.518848077743792,1.82618396649946,84,"up","**"
"60","Amplification of signal from the kinetochores",0.000137281130361383,0.00637259007137539,0.518848077743792,1.82618396649946,84,"up","**"
"61","Resolution of D-loop Structures through Holliday Junction Intermediates",0.00113307154207119,0.0282780542919058,0.45505986738723,1.82533527666043,30,"up","*"
"62","Mitochondrial translation elongation",0.000156511441077707,0.00698582797579535,0.518848077743792,1.81290592353687,82,"up","**"
"63","Presynaptic phase of homologous DNA pairing and strand exchange",0.0016565386388235,0.0373284095214499,0.45505986738723,1.81172357912711,37,"up","*"
"64","Processing of DNA double-strand break ends",0.000490273705939119,0.0160271164997845,0.477270815362862,1.81100770339301,56,"up","*"
"65","Cilium Assembly",8.66744541497128e-06,0.000804685632325934,0.593325476396405,1.80801632557374,171,"up","***"
"66","Mitochondrial translation",0.000193393523568851,0.00846917675855289,0.518848077743792,1.80158903106014,88,"up","**"
"67","Signaling by NTRK1 (TRKA)",0.00014127206572029,0.00642926401052537,0.518848077743792,-1.7995609624934,104,"down","**"
"68","FCGR3A-mediated phagocytosis",0.00106247362397714,0.0268350731947082,0.45505986738723,-1.79954028188035,55,"down","*"
"69","Leishmania phagocytosis",0.00106247362397714,0.0268350731947082,0.45505986738723,-1.79954028188035,55,"down","*"
"70","Parasite infection",0.00106247362397714,0.0268350731947082,0.45505986738723,-1.79954028188035,55,"down","*"
"71","Golgi-to-ER retrograde transport",7.37782091174473e-05,0.00391947653571987,0.538434096309916,1.79642641112167,121,"up","**"
"72","Ca2+ pathway",0.000662780074010569,0.019826408482543,0.477270815362862,-1.79514309742967,57,"down","*"
"73","Neutrophil degranulation",1.66046308677017e-09,7.70786964878711e-07,0.788186810800237,-1.79511939234897,394,"down","***"
