"","pathway","pval","padj","log2err","NES","size","state","pvlabel"
"1","Extracellular matrix organization",9.28445000939025e-21,1.07838886859068e-17,1.1778932614942,-2.58385757205288,252,"down","***"
"2","Smooth Muscle Contraction",3.32905081615238e-09,4.07020265574841e-07,0.774939030136436,-2.51881802409956,33,"down","***"
"3","Degradation of the extracellular matrix",2.47554349817054e-11,5.75068754625017e-09,0.863415391606693,-2.43681079810305,116,"down","***"
"4","Post-translational protein phosphorylation",6.63995018824579e-10,1.02830695248633e-07,0.801215574617779,-2.42103956328364,78,"down","***"
"5","Cell-extracellular matrix interactions",3.59095942587089e-07,2.87648232630968e-05,0.674962860011025,-2.38893295268819,16,"down","***"
"6","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1.99650954508807e-09,2.72817157249388e-07,0.774939030136436,-2.36340611357918,88,"down","***"
"7","Platelet degranulation ",1.09007940181235e-09,1.58265903150631e-07,0.788186810800237,-2.33745839745346,103,"down","***"
"8","Elastic fibre formation",3.34557860311911e-07,2.77563539108775e-05,0.674962860011025,-2.32510773323975,41,"down","***"
"9","Collagen formation",1.50399125006104e-08,1.66370079709133e-06,0.73376198835648,-2.30091419883949,78,"down","***"
"10","Collagen degradation",4.33450683162651e-07,3.35635312328946e-05,0.674962860011025,-2.28970961456866,54,"down","***"
"11","Response to elevated platelet cytosolic Ca2+",5.78217393932031e-09,6.71599503052054e-07,0.761460801445585,-2.28577020030626,108,"down","***"
"12","Neutrophil degranulation",3.26069343016826e-17,1.51491816765618e-14,1.06720998682811,-2.25868056936855,394,"down","***"
"13","Semaphorin interactions",7.50867813575988e-07,5.28565433617279e-05,0.659444398037935,-2.2420795812423,60,"down","***"
"14","ECM proteoglycans",4.83255268221404e-07,3.62129673573652e-05,0.659444398037935,-2.2354288703799,62,"down","***"
"15","Integrin cell surface interactions",2.07590585919819e-07,1.85474204266054e-05,0.690132458796796,-2.22579779122972,77,"down","***"
"16","Collagen biosynthesis and modifying enzymes",7.83531981524092e-07,5.35336703847196e-05,0.659444398037935,-2.21616425595757,58,"down","***"
"17","Molecules associated with elastic fibres",7.75242213407574e-06,0.000473917805722577,0.593325476396405,-2.19687587148965,34,"down","***"
"18","RHO GTPases Activate ROCKs",3.50504798388521e-05,0.00159266749355368,0.557332238758646,-2.16201370745661,19,"down","**"
"19","Crosslinking of collagen fibrils",5.241513567809e-05,0.00221382473054915,0.557332238758646,-2.15257502764046,16,"down","**"
"20","Platelet activation, signaling and aggregation",2.87995652780732e-11,6.08194455826945e-09,0.863415391606693,-2.14550714719556,220,"down","***"
"21","Assembly of collagen fibrils and other multimeric structures",1.08064309608864e-05,0.000643675362106129,0.593325476396405,-2.13381497632986,53,"down","***"
"22","RHO GTPases activate CIT",6.86248392205063e-05,0.00279676318437257,0.538434096309916,-2.12369454286278,20,"down","**"
"23","Non-integrin membrane-ECM interactions",1.65825522904543e-05,0.00083741889066794,0.575610261071129,-2.10621562568823,49,"down","***"
"24","Laminin interactions",0.00014219860899475,0.00532786078540007,0.518848077743792,-2.06149399606387,28,"down","**"
"25","VEGF binds to VEGFR leading to receptor dimerization",3.56516184523424e-05,0.00159266749355368,0.557332238758646,-2.05463366234134,7,"down","**"
"26","VEGF ligand-receptor interactions",3.56516184523424e-05,0.00159266749355368,0.557332238758646,-2.05463366234134,7,"down","**"
"27","Leishmania infection",2.09174623958387e-08,2.20869387025151e-06,0.73376198835648,-2.05405009309611,187,"down","***"
"28","NR1H2 & NR1H3 regulate gene expression linked to lipogenesis",0.000115502730107797,0.00439857118099039,0.538434096309916,-2.03996292099121,8,"down","**"
"29","RHO GTPases activate PAKs",0.000282725713665684,0.00925030750486456,0.49849310876659,-2.01695279336186,22,"down","**"
"30","Innate Immune System",1.28520924756481e-19,9.95180360697688e-17,1.14219120216838,-2.01550044330256,814,"down","***"
"31","Hemostasis",1.82291451305542e-13,6.0494720197539e-11,0.943632225232838,-2.00465891772351,488,"down","***"
"32","Other semaphorin interactions",0.00066233487447678,0.0158618960145315,0.477270815362862,-1.99592443047611,18,"down","*"
"33","Sema4D induced cell migration and growth-cone collapse",0.000438742425015295,0.0127399831663816,0.49849310876659,-1.98399997562048,20,"down","*"
"34","Antigen processing-Cross presentation",1.36052172235343e-05,0.000752498085958813,0.593325476396405,-1.9818782023921,81,"down","***"
"35","Signal regulatory protein family interactions",0.0010665311639692,0.0233731310745326,0.45505986738723,-1.97280597682491,14,"down","*"
"36","RHO GTPases activate PKNs",0.000431759786951391,0.0127399831663816,0.49849310876659,-1.97155246919937,32,"down","*"
"37","L1CAM interactions",1.87216826233232e-05,0.000925329121999572,0.575610261071129,-1.96156343999436,96,"down","***"
"38","Sema4D in semaphorin signaling",0.000555567592120093,0.0145207489478578,0.477270815362862,-1.95507377659982,24,"down","*"
"39","Nervous system development",3.17646657793837e-12,9.22366482568855e-10,0.898671232061694,-1.95132986006241,491,"down","***"
"40","Cell surface interactions at the vascular wall",1.61544364104783e-05,0.00083741889066794,0.575610261071129,-1.94875804257067,105,"down","***"
"41","NR1H2 and NR1H3-mediated signaling",0.000211184310321235,0.00743304777085194,0.518848077743792,-1.94459246166198,39,"down","**"
"42","Chondroitin sulfate/dermatan sulfate metabolism",0.000239207217349475,0.00805330965076566,0.518848077743792,-1.94259170353879,41,"down","**"
"43","Signaling by VEGF",1.64098494955379e-05,0.00083741889066794,0.575610261071129,-1.94144357620421,99,"down","***"
"44","ROS and RNS production in phagocytes",0.000336672005564444,0.0107135488894,0.49849310876659,-1.9385758557335,31,"down","*"
"45","Signaling by Receptor Tyrosine Kinases",4.13046664366484e-11,7.3808261640257e-09,0.851339057116899,-1.93445801074054,451,"down","***"
"46","RHO GTPase Effectors",3.45393371399678e-08,3.48847305113675e-06,0.719512826338911,-1.93132301413601,234,"down","***"
"47","Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)",0.00182703037068824,0.0347884553369571,0.45505986738723,1.92937477215708,12,"up","*"
"48","Signaling by Rho GTPases",2.53395217113317e-09,3.27020605196798e-07,0.774939030136436,-1.92931460459968,347,"down","***"
"49","Axon guidance",1.57922996579864e-11,4.07616801172248e-09,0.863415391606693,-1.92497725508749,472,"down","***"
"50","Pre-NOTCH Processing in Golgi",0.000929800394848328,0.0211757482081634,0.477270815362862,-1.9178487651421,17,"down","*"
"51","Plasma lipoprotein assembly",0.00115645283321652,0.0246462379042384,0.45505986738723,-1.91467053666262,10,"down","*"
"52","Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)",0.00203585076443956,0.035827888831766,0.431707695803346,1.91300703583918,12,"up","*"
"53","Cell-Cell communication",5.19672126165342e-05,0.00221382473054915,0.557332238758646,-1.90602704089058,95,"down","**"
"54","EPH-Ephrin signaling",5.3912852921551e-05,0.00223642066672791,0.557332238758646,-1.90426894924462,81,"down","**"
"55","Collagen chain trimerization",0.000499430777272817,0.0135265460057375,0.477270815362862,-1.89938634081238,38,"down","*"
"56","Creation of C4 and C2 activators",0.00118208299238371,0.0249634435573396,0.45505986738723,-1.89830704335548,9,"down","*"
"57","Signaling by NTRK1 (TRKA)",2.1719490006002e-05,0.00105113281841547,0.575610261071129,-1.89394849429777,104,"down","**"
"58","Signaling by BMP",0.00132967543804492,0.0273348322352067,0.45505986738723,-1.89284371676334,23,"down","*"
