"","pathway","pval","padj","log2err","NES","size","state","pvlabel"
"1","Collagen formation",2.96435480953991e-17,2.29539874085374e-14,1.06720998682811,2.72546533597466,78,"up","***"
"2","Collagen biosynthesis and modifying enzymes",8.39216914941251e-14,3.24916815568088e-11,0.954541630725724,2.6480645913836,58,"up","***"
"3","Assembly of collagen fibrils and other multimeric structures",2.63486494059386e-12,7.65098907124943e-10,0.898671232061694,2.54397650948387,53,"up","***"
"4","Collagen chain trimerization",1.52076544144043e-10,3.21158010951466e-08,0.826657301178302,2.48494283033383,38,"up","***"
"5","Collagen degradation",8.12375754132173e-10,1.45165298219157e-07,0.801215574617779,2.41935312854345,54,"up","***"
"6","Extracellular matrix organization",7.89171666443579e-21,9.16622890574217e-18,1.1778932614942,2.40670988750164,252,"up","***"
"7","Degradation of the extracellular matrix",1.90270269441797e-12,6.31425479876135e-10,0.898671232061694,2.34826544057456,116,"up","***"
"8","ECM proteoglycans",3.76926322672108e-09,4.60842025035424e-07,0.761460801445585,2.33366952675316,62,"up","***"
"9","Post-translational protein phosphorylation",1.00964345615841e-09,1.67528696332571e-07,0.788186810800237,2.31452917239503,78,"up","***"
"10","MET activates PTK2 signaling",2.66437375893641e-07,1.76838292628837e-05,0.674962860011025,2.29515363437849,28,"up","***"
"11","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",2.03785800452552e-09,2.94373959826034e-07,0.774939030136436,2.27703603649062,88,"up","***"
"12","Integrin cell surface interactions",6.57003501262521e-09,7.26771015920398e-07,0.761460801445585,2.26816878105306,77,"up","***"
"13","Non-integrin membrane-ECM interactions",1.53023296882315e-07,1.11085349580505e-05,0.690132458796796,2.25301280785797,49,"up","***"
"14","G2/M Checkpoints",6.5213809355197e-11,1.68324087924581e-08,0.839088935621274,2.2494859030237,121,"up","***"
"15","Activation of ATR in response to replication stress",8.00318234479527e-07,4.64784814673985e-05,0.659444398037935,2.23741029531751,36,"up","***"
"16","DNA Replication",1.45445906305835e-10,3.21158010951466e-08,0.826657301178302,2.22565685685644,118,"up","***"
"17","Activation of the pre-replicative complex",1.17766028903332e-06,6.36210430563815e-05,0.643551836150722,2.21255290856647,31,"up","***"
"18","DNA strand elongation",1.14754375400361e-06,6.34700985845331e-05,0.643551836150722,2.21186884177004,30,"up","***"
"19","Cell Cycle Checkpoints",2.0723672120061e-15,9.62821806698035e-13,1.00731795687447,2.2118481449205,233,"up","***"
"20","Translocation of ZAP-70 to Immunological synapse",0.000293630268338581,0.00688993043788408,0.49849310876659,-2.18171471674689,10,"down","**"
"21","Homology Directed Repair",2.68936912624869e-08,2.40952755368222e-06,0.73376198835648,2.17752242738097,94,"up","***"
"22","Synthesis of DNA",8.01540096362712e-09,8.46353474477537e-07,0.747739663149885,2.16788417112834,111,"up","***"
"23","Unwinding of DNA",9.91542704288614e-06,0.000418083346822615,0.593325476396405,2.15105224980427,12,"up","***"
"24","Crosslinking of collagen fibrils",7.5543940078585e-06,0.000327977484230739,0.610526878385931,2.14820394184046,16,"up","***"
"25","Generation of second messenger molecules",0.000195114713108288,0.00492664650598428,0.518848077743792,-2.1385728899074,22,"down","**"
"26","MET promotes cell motility",2.94018754760388e-06,0.000145320333469868,0.627256739718528,2.12885125355949,39,"up","***"
"27","Phosphorylation of CD3 and TCR zeta chains",0.000725045025412677,0.0143955520857577,0.477270815362862,-2.1271818964799,13,"down","*"
"28","Syndecan interactions",1.08726477788199e-05,0.000428087471020317,0.593325476396405,2.11716412691121,24,"up","***"
