"ENSEMBL ID","Symbol","log2FoldChange","p value","p value (adj)"
"ENSG00000108576.5","SLC6A4",-3.63198060665927,7.01765180529915e-08,0.00151595314298072
"ENSG00000130294.10","KIF1A",4.33966981973021,4.67529733585147e-07,0.00352712615377142
"ENSG00000149948.9","HMGA2",3.84420600659516,6.29842907616675e-07,0.00352712615377142
"ENSG00000118322.8","ATP10B",2.90594006550711,9.280796350388e-07,0.00352712615377142
"ENSG00000197301.3","RP11-366L20.2",3.20066775826368,9.54796925037661e-07,0.00352712615377142
"ENSG00000100413.12","POLR3H",-1.82027169853744,9.79666555070295e-07,0.00352712615377142
"ENSG00000155974.7","GRIP1",1.630370299119,8.96750461953889e-06,0.0268854009660637
"ENSG00000164669.8","INTS4L1",2.07229683241925,9.9566340028011e-06,0.0268854009660637
"ENSG00000065618.12","COL17A1",2.72584175973468,1.13255046702141e-05,0.0271837279873295
"ENSG00000152669.8","CCNO",2.33033543123538,1.29804271511107e-05,0.0280403187318294
"ENSG00000178343.4","SHISA3",3.38756017940017,2.33308923898991e-05,0.040539858370792
"ENSG00000270358.1","IGHV4-61",2.9608171343234,2.48981699629992e-05,0.040539858370792
"ENSG00000167588.8","GPD1",-1.89877947778531,2.56640396985206e-05,0.040539858370792
"ENSG00000173432.6","SAA1",2.36048576022299,2.73285241692701e-05,0.040539858370792
"ENSG00000021826.10","CPS1",3.32262572291399,2.93535976065838e-05,0.040539858370792
"ENSG00000223532.5","HLA-B",3.22819181561275,3.08649834783251e-05,0.040539858370792
"ENSG00000187950.4","OVCH1",-1.89969593069342,3.19034159940498e-05,0.040539858370792
"ENSG00000211936.2","IGHV4-4",2.84344050130361,3.45012740776698e-05,0.0414053623681013
"ENSG00000263001.1","GTF2I",-2.17570875615401,4.29809305196642e-05,0.0488670558466203
"ENSG00000159263.11","SIM2",2.13729937849884,5.03055692020694e-05,0.0543350452951552
