"ENSEMBL ID","Symbol","log2FoldChange","p value","p value (adj)"
"ENSG00000023839.6","ABCC2",2.48154517991413,4.53125202439581e-08,0.000837744755860125
"ENSG00000171560.10","FGA",3.76121709378938,9.68893129937518e-08,0.000837744755860125
"ENSG00000135454.9","B4GALNT1",2.42425138659942,1.18789727635316e-07,0.000837744755860125
"ENSG00000145794.12","MEGF10",1.91190609566147,4.72723947915437e-07,0.00250035514151173
"ENSG00000021826.10","CPS1",2.83778342880958,9.1033165991802e-07,0.00373207736107933
"ENSG00000113739.6","STC2",1.53124853556114,1.0583950544253e-06,0.00373207736107933
"ENSG00000240216.3","CPHL1P",2.08782108689641,6.90577338497324e-06,0.0138713142628211
"ENSG00000173432.6","SAA1",1.85584594901572,7.01964086638822e-06,0.0138713142628211
"ENSG00000025423.7","HSD17B6",-1.51845739218373,8.19812963734656e-06,0.0138713142628211
"ENSG00000164283.8","ESM1",1.73101111650836,8.52328238486905e-06,0.0138713142628211
"ENSG00000179603.13","GRM8",1.55769198414094,1.09089827173581e-05,0.0144250842094466
"ENSG00000160862.8","AZGP1",2.19221850597176,1.93799000221471e-05,0.0203237766578884
"ENSG00000136231.9","IGF2BP3",1.91423554966671,2.01205053478645e-05,0.0203237766578884
"ENSG00000167779.3","IGFBP6",1.55979968165999,2.01729597681929e-05,0.0203237766578884
"ENSG00000101057.11","MYBL2",1.61003304536136,2.33874638429895e-05,0.0224912987511876
"ENSG00000145920.10","CPLX2",1.81714229299261,2.53688062646899e-05,0.0229854359151453
"ENSG00000144452.10","ABCA12",1.76396420465472,3.24753594134839e-05,0.0254474510781881
"ENSG00000106236.3","NPTX2",2.00439680349406,3.47032994875782e-05,0.0262220609735247
"ENSG00000152578.8","GRIA4",1.68515163025123,3.62328065935249e-05,0.0264337065206623
"ENSG00000206557.5","TRIM71",-1.60520017233259,4.81552141370632e-05,0.0308733292575105
